57896.23953	11.9052	0.0023	2.362
57896.24002	11.9200	0.0022	2.351
57896.24053	11.9054	0.0022	2.340
57896.24103	11.9165	0.0022	2.330
57896.24154	11.9229	0.0023	2.320
57896.24204	11.9099	0.0024	2.309
57896.24253	11.9185	0.0024	2.299
57896.24304	11.9067	0.0025	2.289
57896.24355	11.9092	0.0027	2.279
57896.24405	11.9072	0.0028	2.269
57896.24455	11.9221	0.0030	2.260
57896.24506	11.9327	0.0032	2.250
57896.24557	11.9098	0.0033	2.240
57896.24606	11.9205	0.0035	2.230
57896.24656	11.9188	0.0036	2.221
57896.24707	11.9069	0.0038	2.212
57896.24757	11.9179	0.0039	2.202
57896.24808	11.9278	0.0040	2.193
57896.24858	11.9174	0.0041	2.184
57896.24909	11.8967	0.0042	2.175
57896.24955	11.9323	0.0042	2.167
57896.25005	11.9279	0.0041	2.158
57896.25056	11.9328	0.0041	2.149
57896.25106	11.9006	0.0040	2.140
57896.25159	11.9278	0.0039	2.131
57896.25209	11.9206	0.0039	2.122
57896.25260	11.9099	0.0038	2.114
57896.25310	11.9057	0.0038	2.105
57896.25361	11.9109	0.0038	2.097
57896.25411	11.9183	0.0039	2.089
57896.25462	11.9370	0.0038	2.080
57896.25512	11.9072	0.0038	2.072
57896.25561	11.9067	0.0037	2.064
57896.25611	11.9110	0.0036	2.056
57896.25662	11.9175	0.0035	2.048
57896.25713	11.9219	0.0033	2.040
57896.25764	11.9146	0.0032	2.032
57896.25814	11.9174	0.0030	2.025
57896.25863	11.9060	0.0028	2.017
57896.25914	11.9141	0.0026	2.009
57896.25965	11.9169	0.0024	2.002
57896.26015	11.9098	0.0022	1.994
57896.26065	11.9050	0.0021	1.987
57896.26116	11.9113	0.0020	1.979
57896.26166	11.9100	0.0019	1.972
57896.26314	11.9080	0.0018	1.951
57896.26365	11.8958	0.0018	1.944
57896.26414	11.9063	0.0018	1.937
57896.26464	11.9189	0.0018	1.930
57896.26514	11.9239	0.0019	1.923
57896.26565	11.9105	0.0019	1.916
57896.26615	11.9085	0.0020	1.909
57896.26662	11.9138	0.0020	1.903
57896.26713	11.9020	0.0021	1.896
57896.26763	11.9201	0.0021	1.889
57896.26812	11.9139	0.0022	1.883
57896.26863	11.9042	0.0022	1.876
57896.26913	11.8969	0.0023	1.870
57896.26964	11.9001	0.0024	1.863
57896.27015	11.9028	0.0025	1.857
57896.27065	11.9266	0.0026	1.850
57896.27116	11.9033	0.0027	1.844
57896.27166	11.9191	0.0027	1.838
57896.27215	11.9126	0.0027	1.832
57896.27266	11.9244	0.0027	1.826
57896.27317	11.9154	0.0026	1.819
57896.27367	11.9224	0.0025	1.813
57896.27418	11.9045	0.0024	1.807
57896.27468	11.9048	0.0022	1.801
57896.27519	11.9241	0.0020	1.795
57896.27568	11.9034	0.0019	1.790
57896.27619	11.9117	0.0017	1.784
57896.27669	11.9062	0.0016	1.778
57896.27719	11.9023	0.0015	1.772
57896.27770	11.9133	0.0014	1.766
57896.27819	11.9182	0.0014	1.761
57896.27870	11.8983	0.0015	1.755
57896.27920	11.9074	0.0016	1.750
57896.27971	11.9105	0.0017	1.744
57896.28021	11.9044	0.0020	1.739
57896.28071	11.8984	0.0022	1.733
57896.28122	11.9071	0.0024	1.728
57896.28171	11.9126	0.0026	1.722
57896.28222	11.9141	0.0027	1.717
57896.28272	11.9039	0.0028	1.712
57896.28322	11.9090	0.0029	1.707
57896.28373	11.9154	0.0028	1.701
57896.28422	11.9068	0.0027	1.696
57896.28470	11.9194	0.0026	1.691
57896.28520	11.9025	0.0024	1.686
57896.28571	11.9162	0.0022	1.681
57896.28620	11.8985	0.0020	1.676
57896.28671	11.9151	0.0018	1.671
57896.28721	11.9084	0.0017	1.666
57896.28771	11.9127	0.0016	1.661
57896.28822	11.9102	0.0016	1.656
57896.28872	11.9128	0.0016	1.651
57896.28921	11.9024	0.0016	1.647
57896.28972	11.9072	0.0016	1.642
57896.29023	11.9114	0.0017	1.637
57896.29073	11.9223	0.0018	1.632
57896.29124	11.9187	0.0019	1.628
57896.29174	11.9189	0.0020	1.623
57896.29225	11.9117	0.0021	1.618
57896.29274	11.9065	0.0022	1.614
57896.29325	11.9174	0.0022	1.609
57896.29375	11.9100	0.0023	1.605
57896.29426	11.9034	0.0023	1.600
57896.29476	11.9168	0.0023	1.596
57896.29527	11.9178	0.0022	1.591
57896.29578	11.9101	0.0022	1.587
57896.29628	11.9221	0.0021	1.582
57896.29678	11.9097	0.0020	1.578
57896.29728	11.9115	0.0019	1.574
57896.29779	11.9074	0.0018	1.570
57896.29829	11.9084	0.0017	1.565
57896.29878	11.9154	0.0016	1.561
57896.29929	11.9106	0.0016	1.557
57896.29979	11.9039	0.0016	1.553
57896.30030	11.9077	0.0017	1.549
57896.30080	11.9196	0.0018	1.545
57896.30131	11.9151	0.0019	1.541
57896.30181	11.9152	0.0020	1.537
57896.30231	11.9198	0.0022	1.533
57896.30281	11.9117	0.0024	1.529
57896.30332	11.9123	0.0026	1.525
57896.30383	11.9140	0.0027	1.521
57896.30433	11.9144	0.0028	1.517
57896.30483	11.9113	0.0028	1.513
57896.30534	11.9067	0.0028	1.509
57896.30584	11.9130	0.0028	1.505
57896.30634	11.9203	0.0027	1.501
57896.30685	11.9164	0.0025	1.498
57896.30735	11.9106	0.0023	1.494
57896.30786	11.9127	0.0022	1.490
57896.30836	11.9070	0.0020	1.486
57896.30887	11.9163	0.0018	1.483
57896.30936	11.9098	0.0017	1.479
57896.30987	11.9158	0.0017	1.475
57896.31037	11.9004	0.0017	1.472
57896.31088	11.9079	0.0017	1.468
57896.31138	11.9212	0.0017	1.465
57896.31189	11.9124	0.0017	1.461
57896.31238	11.9155	0.0016	1.458
57896.31289	11.9113	0.0016	1.454
57896.31340	11.9097	0.0016	1.451
57896.31390	11.9074	0.0016	1.447
57896.31441	11.9128	0.0016	1.444
57896.31491	11.9091	0.0016	1.441
57896.31542	11.9085	0.0016	1.437
57896.31591	11.9109	0.0016	1.434
57896.31641	11.9012	0.0016	1.431
57896.31692	11.9101	0.0016	1.427
57896.31743	11.9099	0.0016	1.424
57896.31793	11.9144	0.0016	1.421
57896.31844	11.9122	0.0016	1.417
57896.31894	11.9103	0.0016	1.414
57896.31944	11.9153	0.0015	1.411
57896.31994	11.9109	0.0015	1.408
57896.32045	11.9063	0.0014	1.405
57896.32096	11.9051	0.0014	1.402
57896.32146	11.9156	0.0014	1.399
57896.32197	11.9029	0.0014	1.395
57896.32247	11.9036	0.0014	1.392
57896.32297	11.9151	0.0014	1.389
57896.32347	11.9134	0.0015	1.386
57896.32398	11.9165	0.0016	1.383
57896.32448	11.9115	0.0017	1.380
57896.32499	11.9161	0.0018	1.377
57896.32549	11.9043	0.0019	1.374
57896.32598	11.9067	0.0019	1.372
57896.32649	11.9029	0.0019	1.369
57896.32699	11.9122	0.0019	1.366
57896.32750	11.9137	0.0019	1.363
57896.32801	11.9098	0.0019	1.360
57896.32851	11.9074	0.0018	1.357
57896.32902	11.9083	0.0017	1.354
57896.32951	11.9089	0.0016	1.352
57896.33002	11.9047	0.0015	1.349
57896.33052	11.9142	0.0014	1.346
57896.33103	11.9116	0.0013	1.343
57896.33153	11.9114	0.0013	1.341
57896.33204	11.9160	0.0013	1.338
57896.33253	11.9054	0.0014	1.335
57896.33304	11.9071	0.0015	1.332
57896.33354	11.9150	0.0016	1.330
57896.33405	11.9096	0.0018	1.327
57896.33455	11.9103	0.0020	1.325
57896.33505	11.9149	0.0022	1.322
57896.33554	11.9071	0.0023	1.320
57896.33605	11.9141	0.0023	1.317
57896.33656	11.9041	0.0024	1.314
57896.33706	11.9073	0.0024	1.312
57896.33756	11.9082	0.0023	1.309
57896.33806	11.9171	0.0023	1.307
57896.33856	11.9180	0.0021	1.304
57896.33906	11.9086	0.0020	1.302
57896.33956	11.9016	0.0018	1.300
57896.34007	11.9030	0.0017	1.297
57896.34058	11.9047	0.0017	1.295
57896.34108	11.9091	0.0016	1.292
57896.34159	11.9056	0.0017	1.290
57896.34209	11.9100	0.0017	1.287
57896.34258	11.9084	0.0018	1.285
57896.34309	11.9068	0.0018	1.283
57896.34359	11.9163	0.0018	1.281
57896.34410	11.9178	0.0019	1.278
57896.34459	11.9153	0.0019	1.276
57896.34510	11.9076	0.0018	1.274
57896.34560	11.9131	0.0018	1.271
57896.34611	11.9091	0.0017	1.269
57896.34661	11.9071	0.0016	1.267
57896.34711	11.9112	0.0015	1.265
57896.34762	11.9118	0.0014	1.262
57896.34813	11.9138	0.0014	1.260
57896.34862	11.9195	0.0013	1.258
57896.34913	11.9111	0.0013	1.256
57896.34963	11.9093	0.0013	1.254
57896.35014	11.9188	0.0013	1.252
57896.35064	11.9152	0.0014	1.250
57896.35113	11.9087	0.0014	1.247
57896.35164	11.9098	0.0015	1.245
57896.35214	11.9135	0.0015	1.243
57896.35265	11.9124	0.0015	1.241
57896.35316	11.9132	0.0016	1.239
57896.35366	11.9153	0.0017	1.237
57896.35416	11.9085	0.0018	1.235
57896.35466	11.9103	0.0019	1.233
57896.35516	11.9067	0.0020	1.231
57896.35566	11.9106	0.0021	1.229
57896.35617	11.9065	0.0021	1.227
57896.35668	11.9107	0.0021	1.225
57896.35718	11.9117	0.0021	1.223
57896.35767	11.9114	0.0021	1.221
57896.35818	11.9070	0.0020	1.219
57896.35868	11.9157	0.0019	1.218
57896.35919	11.9093	0.0017	1.216
57896.35970	11.9125	0.0015	1.214
57896.36020	11.9085	0.0014	1.212
57896.36071	11.9074	0.0013	1.210
57896.36120	11.9150	0.0013	1.208
57896.36171	11.9038	0.0013	1.206
57896.36222	11.9046	0.0014	1.205
57896.36272	11.9193	0.0015	1.203
57896.36322	11.9070	0.0015	1.201
57896.36373	11.9142	0.0016	1.199
57896.36422	11.9051	0.0018	1.197
57896.36473	11.9017	0.0019	1.196
57896.36523	11.9076	0.0021	1.194
57896.36574	11.9087	0.0022	1.192
57896.36624	11.9086	0.0023	1.190
57896.36675	11.9137	0.0024	1.189
57896.36725	11.9183	0.0025	1.187
57896.36771	11.9135	0.0025	1.185
57896.36821	11.9160	0.0026	1.184
57896.36872	11.9105	0.0026	1.182
57896.36921	11.9127	0.0025	1.181
57896.36971	11.9077	0.0025	1.179
57896.37072	11.9181	0.0024	1.176
57896.37123	11.9056	0.0022	1.174
57896.37172	11.9114	0.0021	1.172
57896.37222	11.9166	0.0019	1.171
57896.37273	11.9064	0.0018	1.169
57896.37323	11.9075	0.0016	1.168
57896.37373	11.9075	0.0015	1.166
57896.37424	11.9110	0.0014	1.165
57896.37473	11.9092	0.0013	1.163
57896.37524	11.9126	0.0012	1.162
57896.37575	11.9072	0.0012	1.160
57896.37625	11.9181	0.0012	1.159
57896.37676	11.9024	0.0013	1.157
57896.37726	11.9107	0.0013	1.156
57896.37777	11.9095	0.0013	1.154
57896.37828	11.9139	0.0014	1.153
57896.37877	11.9209	0.0014	1.151
57896.37928	11.9113	0.0014	1.150
57896.37978	11.9082	0.0014	1.148
57896.38029	11.9106	0.0015	1.147
57896.38079	11.9093	0.0016	1.146
57896.38130	11.9066	0.0017	1.144
57896.38179	11.9095	0.0018	1.143
57896.38230	11.9118	0.0018	1.141
57896.38280	11.9095	0.0019	1.140
57896.38331	11.9118	0.0020	1.139
57896.38381	11.9078	0.0020	1.137
57896.38431	11.9132	0.0020	1.136
57896.38481	11.9074	0.0020	1.135
57896.38531	11.9091	0.0020	1.133
57896.38582	11.9126	0.0019	1.132
57896.38632	11.9100	0.0018	1.131
57896.38683	11.9143	0.0017	1.129
57896.38733	11.9091	0.0016	1.128
57896.38782	11.9102	0.0016	1.127
57896.38833	11.9106	0.0015	1.126
57896.38883	11.9124	0.0015	1.124
57896.38934	11.9145	0.0014	1.123
57896.38985	11.9065	0.0014	1.122
57896.39035	11.9132	0.0014	1.121
57896.39084	11.9117	0.0015	1.120
57896.39135	11.9092	0.0015	1.118
57896.39185	11.9087	0.0015	1.117
57896.39236	11.9099	0.0016	1.116
57896.39286	11.9127	0.0016	1.115
57896.39336	11.9107	0.0016	1.114
57896.39387	11.9140	0.0016	1.112
57896.39436	11.9083	0.0016	1.111
57896.39487	11.9160	0.0016	1.110
57896.39538	11.9099	0.0016	1.109
57896.39588	11.9145	0.0016	1.108
57896.39638	11.9149	0.0016	1.107
57896.39689	11.9046	0.0016	1.106
57896.39740	11.9137	0.0017	1.105
57896.39789	11.9096	0.0017	1.104
57896.39840	11.9097	0.0016	1.102
57896.39890	11.9029	0.0016	1.101
57896.39940	11.9057	0.0016	1.100
57896.39991	11.9014	0.0015	1.099
57896.40042	11.9110	0.0015	1.098
57896.40091	11.9087	0.0015	1.097
57896.40142	11.9139	0.0014	1.096
57896.40192	11.9086	0.0014	1.095
57896.40243	11.9071	0.0014	1.094
57896.40293	11.9090	0.0014	1.093
57896.40340	11.9119	0.0014	1.092
57896.40390	11.9188	0.0015	1.091
57896.40441	11.9114	0.0015	1.090
57896.40491	11.9094	0.0016	1.089
57896.40542	11.9072	0.0017	1.088
57896.40593	11.9102	0.0017	1.087
57896.40642	11.9119	0.0017	1.086
57896.40692	11.9117	0.0017	1.085
57896.40742	11.9159	0.0017	1.085
57896.40793	11.9068	0.0017	1.084
57896.40843	11.9086	0.0016	1.083
57896.40894	11.9136	0.0016	1.082
57896.40944	11.9107	0.0015	1.081
57896.40994	11.9139	0.0014	1.080
57896.41045	11.9063	0.0014	1.079
57896.41091	11.9091	0.0013	1.078
57896.41142	11.9175	0.0013	1.078
57896.41189	11.9118	0.0013	1.077
57896.41238	11.9094	0.0013	1.076
57896.41288	11.9187	0.0014	1.075
57896.41336	11.9087	0.0014	1.074
57896.41385	11.9052	0.0014	1.073
57896.41436	11.9132	0.0014	1.073
57896.41485	11.9032	0.0015	1.072
57896.41536	11.9068	0.0015	1.071
57896.41586	11.9097	0.0015	1.070
57896.41637	11.9138	0.0015	1.069
57896.41686	11.9126	0.0015	1.069
57896.41737	11.9165	0.0015	1.068
57896.41787	11.9080	0.0015	1.067
57896.41834	11.9050	0.0015	1.066
57896.41881	11.9091	0.0015	1.066
57896.42032	11.9176	0.0015	1.064
57896.42079	11.9059	0.0016	1.063
57896.42128	11.9070	0.0016	1.062
57896.42179	11.9050	0.0017	1.061
57896.42230	11.8993	0.0017	1.061
57896.42280	11.9076	0.0017	1.060
57896.42331	11.9034	0.0017	1.059
57896.42530	11.9085	0.0017	1.057
57896.42581	11.9074	0.0017	1.056
57896.42631	11.9041	0.0017	1.056
57896.42782	11.9119	0.0016	1.054
57896.42833	11.9106	0.0015	1.053
57896.42884	11.9141	0.0015	1.052
57896.42934	11.9089	0.0015	1.052
57896.42985	11.9111	0.0015	1.051
57896.43035	11.9116	0.0014	1.051
57896.43082	11.9082	0.0014	1.050
57896.43132	11.9021	0.0014	1.050
57896.43182	11.9154	0.0014	1.049
57896.43233	11.9098	0.0014	1.048
57896.43282	11.9092	0.0015	1.048
57896.43333	11.9117	0.0015	1.047
57896.43384	11.9090	0.0015	1.047
57896.43434	11.9073	0.0015	1.046
57896.43484	11.9107	0.0016	1.046
57896.43535	11.9081	0.0016	1.045
57896.43584	11.9109	0.0016	1.045
57896.43635	11.9074	0.0016	1.044
57896.43685	11.9122	0.0016	1.044
57896.43736	11.9062	0.0015	1.043
57896.43786	11.9110	0.0015	1.043
57896.43837	11.9102	0.0014	1.042
57896.43887	11.9080	0.0013	1.042
57896.43938	11.9102	0.0012	1.041
57896.43987	11.9100	0.0011	1.041
57896.44038	11.9159	0.0011	1.041
57896.44088	11.9131	0.0011	1.040
57896.44139	11.9100	0.0012	1.040
57896.44189	11.9080	0.0014	1.039
57896.44240	11.9081	0.0016	1.039
57896.44291	11.9127	0.0019	1.039
57896.44340	11.9077	0.0022	1.038
57896.44391	11.9127	0.0026	1.038
57896.44437	11.9106	0.0028	1.037
57896.44589	11.9217	0.0032	1.036
57896.44640	11.9114	0.0034	1.036
57896.44690	11.8972	0.0036	1.036
57896.44784	11.9046	0.0036	1.035
57896.44884	11.9200	0.0037	1.034
57896.44934	11.9016	0.0037	1.034
57896.45031	11.9109	0.0036	1.033
57896.45082	11.9152	0.0035	1.033
57896.45132	11.8953	0.0034	1.033
57896.45182	11.9242	0.0033	1.032
57896.45231	11.9045	0.0032	1.032
57896.45284	11.9101	0.0031	1.032
57896.45333	11.9108	0.0030	1.032
57896.45384	11.8983	0.0029	1.031
57896.45435	11.9121	0.0029	1.031
57896.45485	11.9082	0.0029	1.031
57896.45536	11.9051	0.0030	1.031
57896.45586	11.9122	0.0030	1.030
57896.45683	11.9055	0.0030	1.030
57896.45733	11.9065	0.0031	1.030
57896.45830	11.9123	0.0032	1.029
57896.45978	11.9104	0.0032	1.029
57896.46029	11.9150	0.0031	1.029
57896.46079	11.9101	0.0030	1.028
57896.46130	11.9096	0.0041	1.028
